日付,属性2,属性3,1_v,1_r,2_v,3_v,4_v,3_r
2026-01-01,AA9FQ02,1_5_a,25534,4.198,1072,11,124,1.026
2026-01-01,AA9FQ01,1_5_b,7212,30.477,2198,12,170,0.546
2026-01-01,AA9FQ03,1_6_a,2087,10.589,221,0,29,0
2026-01-01,AA9FQ04,1_6_b,1930,28.238,545,2,37,0.367
2026-01-01,AA9FQ05,1_7_a,121,23.967,29,0,0,0
2026-01-01,AA9FQ06,1_7_b,45,13.333,6,0,0,0
2026-01-01,AA9FQ07,2_8_a,74,27.027,20,0,1,0
2026-01-01,AA9FQ08,2_8_b,54,24.074,13,0,0,0
2026-01-01,AA9FQ09,2_9_a,196,69.388,136,0,23,0
2026-01-01,BK3ZP10,2_9_b,183,27.322,50,0,0,0
2026-01-01,BK3ZP11,2_10_a,1066,198.968,2121,11,398,0.519
2026-01-01,BK3ZP12,2_10_b,1226,43.883,538,8,19,1.487
2026-01-01,BK3ZP13,2_11_b,26665,9.503,2534,10,456,0.395
2026-01-01,BK3ZP14,2_1_b,14609,15.716,2296,12,129,0.523
2026-01-02,AA9FQ02,1_5_a,692558,33.239,230196,180,37801,0.078
2026-01-02,AA9FQ01,1_5_b,1753971,24.946,437548,220,37732,0.05
2026-01-02,AA9FQ03,1_6_a,466770,47.043,219581,139,37778,0.063
2026-01-02,AA9FQ04,1_6_b,2022214,20.105,406566,245,37715,0.06
2026-01-02,AA9FQ05,1_7_a,498789,41.978,209381,131,37789,0.063
2026-01-02,AA9FQ06,1_7_b,1934115,26.792,518188,195,37700,0.038
2026-01-02,AA9FQ07,2_8_a,482731,43.016,207653,164,37755,0.079
2026-01-02,AA9FQ08,2_8_b,1685855,23.326,393242,304,37696,0.077
2026-01-02,AA9FQ09,2_9_a,528918,39.519,209025,154,37785,0.074
2026-01-02,BK3ZP10,2_9_b,3347531,14.434,483190,261,37703,0.054
2026-01-02,BK3ZP11,2_10_a,476370,44.596,212440,181,37790,0.085
2026-01-02,BK3ZP12,2_10_b,2817015,17.768,500528,277,37698,0.055
2026-01-02,BK3ZP13,2_11_b,674597,31.863,214946,193,37791,0.09
2026-01-02,BK3ZP14,2_1_b,3461449,14.328,495966,293,37708,0.059
2026-01-03,AA9FQ02,1_5_a,361906,54.194,196131,78,37674,0.04
2026-01-03,AA9FQ01,1_5_b,1526791,25.255,385585,186,37413,0.048
2026-01-03,AA9FQ03,1_6_a,353475,53.333,188518,95,37695,0.05
2026-01-03,AA9FQ04,1_6_b,1609932,22.741,366110,232,37337,0.063
2026-01-03,AA9FQ05,1_7_a,243894,76.087,185571,68,37710,0.037
2026-01-03,AA9FQ06,1_7_b,1630939,29.976,488892,196,37323,0.04
2026-01-03,AA9FQ07,2_8_a,260017,70.309,182816,103,37740,0.056
2026-01-03,AA9FQ08,2_8_b,1328863,30.429,404362,218,37339,0.054
2026-01-03,AA9FQ09,2_9_a,297822,61.752,183911,81,37709,0.044
2026-01-03,BK3ZP10,2_9_b,1244511,29.792,370767,207,37313,0.056
2026-01-03,BK3ZP11,2_10_a,332765,58.78,195599,74,37694,0.038
2026-01-03,BK3ZP12,2_10_b,1577269,24.747,390320,201,37413,0.051
2026-01-03,BK3ZP13,2_11_b,371519,46.487,172708,92,37698,0.053
2026-01-03,BK3ZP14,2_1_b,1702251,23.765,404540,249,37340,0.062
