日付,属性2,属性3,1_v,1_r,2_v,3_v,4_v,3_r
2020-01-01,AA9FQ02,1_5_a,10000,100.1,1000,10.1,100000,1.01
2020-01-01,AA9FQ01,1_5_b,10001,100.2,1001,10.2,100001,1.02
2020-01-01,AA9FQ03,1_6_a,10002,100.3,1002,10.3,100002,1.03
2020-01-01,AA9FQ04,1_6_b,10003,100.4,1003,10.4,100003,1.04
2020-01-01,AA9FQ05,1_7_a,10004,100.5,1004,10.5,100004,1.05
2020-01-01,AA9FQ06,1_7_b,10005,100.6,1005,10.6,100005,1.06
2020-01-01,AA9FQ07,2_8_a,10006,100.7,1006,10.7,100006,1.07
2020-01-01,AA9FQ08,2_8_b,10007,100.8,1007,10.8,100007,1.08
2020-01-01,AA9FQ09,2_9_a,10008,100.9,1008,10.9,100008,1.09
2020-01-01,BK3ZP10,2_9_b,10009,101,1009,11,100009,1.1
2020-01-01,BK3ZP11,2_10_a,10010,101.1,1010,11.1,100010,1.11
2020-01-01,BK3ZP12,2_10_b,10011,101.2,1011,11.2,100011,1.12
2020-01-01,BK3ZP13,2_11_b,10012,101.3,1012,11.3,100012,1.13
2020-01-01,BK3ZP14,2_1_b,10013,101.4,1013,11.4,100013,1.14
2020-01-02,AA9FQ02,1_5_a,20000,200.1,2000,20.1,200000,2.01
2020-01-02,AA9FQ01,1_5_b,20001,200.2,2001,20.2,200001,2.02
2020-01-02,AA9FQ03,1_6_a,20002,200.3,2002,20.3,200002,2.03
2020-01-02,AA9FQ04,1_6_b,20003,200.4,2003,20.4,200003,2.04
2020-01-02,AA9FQ05,1_7_a,20004,200.5,2004,20.5,200004,2.05
2020-01-02,AA9FQ06,1_7_b,20005,200.6,2005,20.6,200005,2.06
2020-01-02,AA9FQ07,2_8_a,20006,200.7,2006,20.7,200006,2.07
2020-01-02,AA9FQ08,2_8_b,20007,200.8,2007,20.8,200007,2.08
2020-01-02,AA9FQ09,2_9_a,20008,200.9,2008,20.9,200008,2.09
2020-01-02,BK3ZP10,2_9_b,20009,201,2009,21,200009,2.1
2020-01-02,BK3ZP11,2_10_a,20010,201.1,2010,21.1,200010,2.11
2020-01-02,BK3ZP12,2_10_b,20011,201.2,2011,21.2,200011,2.12
2020-01-02,BK3ZP13,2_11_b,20012,201.3,2012,21.3,200012,2.13
2020-01-02,BK3ZP14,2_1_b,20013,201.4,2013,21.4,200013,2.14
2020-01-03,AA9FQ02,1_5_a,30000,300.1,3000,30.1,300000,3.01
2020-01-03,AA9FQ01,1_5_b,30001,300.2,3001,30.2,300001,3.02
2020-01-03,AA9FQ03,1_6_a,30002,300.3,3002,30.3,300002,3.03
2020-01-03,AA9FQ04,1_6_b,30003,300.4,3003,30.4,300003,3.04
2020-01-03,AA9FQ05,1_7_a,30004,300.5,3004,30.5,300004,3.05
2020-01-03,AA9FQ06,1_7_b,30005,300.6,3005,30.6,300005,3.06
2020-01-03,AA9FQ07,2_8_a,30006,300.7,3006,30.7,300006,3.07
2020-01-03,AA9FQ08,2_8_b,30007,300.8,3007,30.8,300007,3.08
2020-01-03,AA9FQ09,2_9_a,30008,300.9,3008,30.9,300008,3.09
2020-01-03,BK3ZP10,2_9_b,30009,301,3009,31,300009,3.1
2020-01-03,BK3ZP11,2_10_a,30010,301.1,3010,31.1,300010,3.11
2020-01-03,BK3ZP12,2_10_b,30011,301.2,3011,31.2,300011,3.12
2020-01-03,BK3ZP13,2_11_b,30012,301.3,3012,31.3,300012,3.13
2020-01-03,BK3ZP14,2_1_b,30013,301.4,3013,31.4,300013,3.14
